Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0097_part20.wav,20,1:40,0.1266,0.4549,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0099_part15.wav,15,1:15,0.1262,0.5539,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part36.wav,36,3:00,0.1262,0.4915,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part33.wav,33,2:45,0.1262,0.5079,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part29.wav,29,2:25,0.1262,0.5591,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part56.wav,56,4:40,0.1258,0.5038,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0169_part20.wav,20,1:40,0.1258,0.5325,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0069_part59.wav,59,4:55,0.1258,0.4999,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0016_part18.wav,18,1:30,0.1258,0.5214,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Void,
ml17_280a_0082_part18.wav,18,1:30,0.1257,0.4625,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0096_part20.wav,20,1:40,0.1254,0.5053,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
